track_id,class,fit_status,fit_method,n_points,n_used,A,B,C,initial_velocity_km_s,acceleration_km_s2,deceleration_km_s2,apex_time_sec,apex_height_Mm,rmse_Mm,r2,apex_inside_window,n_trimmed,n_outliers_removed,reject_reason
0,A,accepted,direct,15.0,15.0,-0.08167586692539917,16.10822401121643,6582.093042166118,16.10822401121643,-0.16335173385079835,0.16335173385079835,98.6106705541877,7.376314427757678,0.028417078923427236,0.9987296198664914,True,0.0,0.0,
1,B,accepted,partial,5.0,5.0,-0.07668252228561638,15.808776704905062,6027.63089049667,15.808776704905062,-0.15336504457123276,0.15336504457123276,103.07939954050241,6.842410495602419,0.005563328500895067,0.9996008294402916,True,0.0,0.0,
2,D,rejected,,,,,,,,,,,,,,,,,
3,E,rejected,,,,,,,,,,,,,,,,,
5,A,accepted,direct,10.0,10.0,-0.08563332985085598,4.521117188073658,6435.624764733979,4.521117188073658,-0.17126665970171195,0.17126665970171195,26.39811622383423,6.495299253230151,0.0075014249840433065,0.9998759354010549,True,0.0,0.0,
7,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
8,B,rejected,,,,,,,,,,,,,,,,,negative_v0
10,D,rejected,,,,,,,,,,,,,,,,,
11,B,accepted,partial,6.0,6.0,-0.05862765519231808,23.033124967225266,4888.537460187724,23.033124967225266,-0.11725531038463616,0.11725531038463616,196.4356658275775,7.150801079701071,0.006738328804038071,0.999869310579309,True,0.0,0.0,
13,A,accepted,direct,16.0,16.0,-0.08134507232859269,20.113079206502913,6825.996380956051,20.113079206502913,-0.16269014465718537,0.16269014465718537,123.62813524374477,8.069267619110898,0.016422753505647182,0.9994955883993865,True,0.0,0.0,
15,D,rejected,,,,,,,,,,,,,,,,,
16,E,rejected,,,,,,,,,,,,,,,,,
17,B,rejected,,,,,,,,,,,,,,,,,negative_v0
18,E,rejected,,,,,,,,,,,,,,,,,
19,D,rejected,,,,,,,,,,,,,,,,,
20,A,accepted,direct,15.0,15.0,-0.10332337303776215,29.546171631902617,6106.401778896687,29.546171631902617,-0.2066467460755243,0.2066467460755243,142.9791283580348,8.218644712019852,0.04293468224892972,0.9961146423829271,True,0.0,0.0,
21,C,rejected,,,,,,,,,,,,,,,,,
22,D,rejected,,,,,,,,,,,,,,,,,
23,A,accepted,direct,9.0,9.0,-0.09957529314337667,22.088475333895033,5742.03230631023,22.088475333895033,-0.19915058628675333,0.19915058628675333,110.91343362700543,6.966986627744086,0.023185810124605192,0.9965517735991234,True,0.0,0.0,
25,D,rejected,,,,,,,,,,,,,,,,,
26,A,accepted,direct,11.0,11.0,-0.06399453222376157,1.8902891023858728,8055.996974576847,1.8902891023858728,-0.12798906444752314,0.12798906444752314,14.769145399612723,8.069955951877066,0.04154560931465799,0.9967361432318963,True,0.0,0.0,
28,A,accepted,direct,9.0,9.0,-0.0796616223319253,7.017694297738624,5882.112661538059,7.017694297738624,-0.1593232446638506,0.1593232446638506,44.04689543289783,6.036666484994327,0.01273379587526154,0.9986753632373305,True,0.0,0.0,
30,A,accepted,direct,21.0,21.0,-0.08383878107626076,33.72413575654222,7648.0145351792635,33.72413575654222,-0.16767756215252153,0.16767756215252153,201.12491691563562,11.039396536222348,0.034107429513964026,0.999202701101711,True,0.0,0.0,
31,A,accepted,direct,14.0,14.0,-0.08539714188643285,19.39171679205998,5996.158350022853,19.39171679205998,-0.1707942837728657,0.1707942837728657,113.53844147295031,7.097011001050518,0.014349805557326206,0.9993002862025666,True,0.0,0.0,
33,D,rejected,,,,,,,,,,,,,,,,,
34,D,rejected,,,,,,,,,,,,,,,,,
35,D,rejected,,,,,,,,,,,,,,,,,
36,D,rejected,,,,,,,,,,,,,,,,,
37,D,rejected,,,,,,,,,,,,,,,,,
38,B,rejected,,,,,,,,,,,,,,,,,negative_v0
39,A,accepted,direct,15.0,15.0,-0.08358865449649787,19.385448070246166,6370.268409738795,19.385448070246166,-0.16717730899299574,0.16717730899299574,115.95741184623544,7.494211602591467,0.04545299510484365,0.9951970535313247,True,0.0,0.0,
40,C,rejected,,,,,,,,,,,,,,,,,
41,D,rejected,,,,,,,,,,,,,,,,,
42,A,accepted,direct,13.0,13.0,-0.07441918362449423,16.436222430029346,5423.361279163108,16.436222430029346,-0.14883836724898847,0.14883836724898847,110.43001031134362,6.330887385376946,0.02237665828068566,0.9979317792603968,True,0.0,0.0,
43,A,accepted,direct,15.0,15.0,-0.08760220901324575,17.96574190163667,6965.09558427017,17.96574190163667,-0.1752044180264915,0.1752044180264915,102.54160313994015,7.88621357236628,0.02972002732999444,0.9986620358844085,True,0.0,0.0,
44,A,accepted,direct,13.0,13.0,-0.09075862226188891,19.14915241757667,5371.20748305794,19.14915241757667,-0.18151724452377782,0.18151724452377782,105.4949488012321,6.381276909997561,0.03239544377547495,0.9956782186840218,True,0.0,0.0,
45,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
46,E,rejected,,,,,,,,,,,,,,,,,
47,E,rejected,,,,,,,,,,,,,,,,,
48,A,accepted,direct,12.0,12.0,-0.0933553029172914,14.319441780840394,7270.941363887176,14.319441780840394,-0.1867106058345828,0.1867106058345828,76.69324255488077,7.820043574761418,0.011638353737747678,0.999601110311787,True,0.0,0.0,
49,A,accepted,direct,8.0,8.0,-0.0924091733355285,22.511169683215947,6395.530385416094,22.511169683215947,-0.184818346671057,0.184818346671057,121.80159647938918,7.7664785884331575,0.007663938435202141,0.9997345104004256,True,0.0,0.0,
50,E,rejected,,,,,,,,,,,,,,,,,
51,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
53,C,rejected,,,,,,,,,,,,,,,,,
55,B,accepted,partial,7.0,7.0,-0.08823864923035339,0.6290808472796514,6250.167429019885,0.6290808472796514,-0.17647729846070678,0.17647729846070678,3.5646559232643638,6.251288657404119,0.00563006341099265,0.999817505535531,True,0.0,0.0,
56,D,rejected,,,,,,,,,,,,,,,,,
57,D,rejected,,,,,,,,,,,,,,,,,
58,B,rejected,,,,,,,,,,,,,,,,,negative_v0
59,E,rejected,,,,,,,,,,,,,,,,,
60,D,rejected,,,,,,,,,,,,,,,,,
61,D,rejected,,,,,,,,,,,,,,,,,
62,A,accepted,direct,20.0,20.0,-0.09034747226521232,32.17645421288281,6434.140784188049,32.17645421288281,-0.18069494453042464,0.18069494453042464,178.0705835268406,9.298980772944404,0.036376434332603,0.9989060042040585,True,0.0,0.0,
64,E,rejected,,,,,,,,,,,,,,,,,
65,D,rejected,,,,,,,,,,,,,,,,,
66,E,rejected,,,,,,,,,,,,,,,,,
68,D,rejected,,,,,,,,,,,,,,,,,
69,A,accepted,direct,14.0,14.0,-0.07930765603255117,18.273668378028983,6167.201766126312,18.273668378028983,-0.15861531206510235,0.15861531206510235,115.20746730005932,7.219833292183263,0.02074106372495744,0.9982479635442215,True,0.0,0.0,
70,A,accepted,direct,11.0,11.0,-0.0800758140677631,13.272576497998408,5598.369899593558,13.272576497998408,-0.1601516281355262,0.1601516281355262,82.8750644156216,6.14835271571,0.010341230622506596,0.9990297410420437,True,0.0,0.0,
72,C,rejected,,,,,,,,,,,,,,,,,
73,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
75,E,rejected,,,,,,,,,,,,,,,,,
77,D,rejected,,,,,,,,,,,,,,,,,
78,A,accepted,direct,15.0,15.0,-0.08724371221170862,23.71489024534265,6533.445072626733,23.71489024534265,-0.17448742442341725,0.17448742442341725,135.91174449222927,8.14501112446987,0.03952448279923987,0.9954093133293777,True,0.0,0.0,
79,D,rejected,,,,,,,,,,,,,,,,,
80,C,rejected,,,,,,,,,,,,,,,,,
81,A,accepted,direct,7.0,7.0,-0.08852480890481147,8.69404262549315,6299.697124069508,8.69404262549315,-0.17704961780962294,0.17704961780962294,49.105119418227936,6.513158124745511,0.002726000687000807,0.9996462554204538,True,0.0,0.0,
83,E,rejected,,,,,,,,,,,,,,,,,
84,E,rejected,,,,,,,,,,,,,,,,,
85,D,rejected,,,,,,,,,,,,,,,,,
86,D,rejected,,,,,,,,,,,,,,,,,
88,E,rejected,,,,,,,,,,,,,,,,,
89,A,accepted,direct,16.0,16.0,-0.0807748080309325,24.469102446314484,5409.899815028678,24.469102446314484,-0.161549616061865,0.161549616061865,151.4649371679355,7.2630053473220775,0.027582373958637513,0.9979653768225634,True,0.0,0.0,
90,A,accepted,direct,11.0,11.0,-0.07827272092136511,10.05568978479904,6249.048165054592,10.05568978479904,-0.15654544184273023,0.15654544184273023,64.2349573799872,6.572011567431061,0.016914712582854124,0.998584562442831,True,0.0,0.0,
92,D,rejected,,,,,,,,,,,,,,,,,
93,A,accepted,direct,7.0,7.0,-0.0707517424104885,12.622469978210123,6373.272287660359,12.622469978210123,-0.141503484820977,0.141503484820977,89.20253797409605,6.936250466439447,0.009552488126296999,0.9978052977827189,True,0.0,0.0,
94,E,rejected,,,,,,,,,,,,,,,,,
95,E,rejected,,,,,,,,,,,,,,,,,
96,D,rejected,,,,,,,,,,,,,,,,,
97,D,rejected,,,,,,,,,,,,,,,,,
98,D,rejected,,,,,,,,,,,,,,,,,
99,A,accepted,direct,10.0,10.0,-0.07143187766200405,6.320347323636459,5911.977676465713,6.320347323636459,-0.1428637553240081,0.1428637553240081,44.240383498965265,6.051784971187881,0.018103256541523415,0.9982234123848016,True,0.0,0.0,
100,E,rejected,,,,,,,,,,,,,,,,,
101,E,rejected,,,,,,,,,,,,,,,,,
102,E,rejected,,,,,,,,,,,,,,,,,
103,D,rejected,,,,,,,,,,,,,,,,,
104,E,rejected,,,,,,,,,,,,,,,,,
105,D,rejected,,,,,,,,,,,,,,,,,
106,E,rejected,,,,,,,,,,,,,,,,,
107,D,rejected,,,,,,,,,,,,,,,,,
108,E,rejected,,,,,,,,,,,,,,,,,
109,D,rejected,,,,,,,,,,,,,,,,,
110,E,rejected,,,,,,,,,,,,,,,,,
112,D,rejected,,,,,,,,,,,,,,,,,
113,B,rejected,,,,,,,,,,,,,,,,,negative_v0
114,E,rejected,,,,,,,,,,,,,,,,,
115,A,accepted,direct,10.0,10.0,-0.0770678399439278,9.885965910541492,6500.631549269435,9.885965910541492,-0.1541356798878556,0.1541356798878556,64.13807573777997,6.817664964425146,0.013003705852453593,0.9983548283807813,True,0.0,0.0,
116,A,accepted,direct,14.0,14.0,-0.07759977634793325,17.599778472937587,5906.798040130963,17.599778472937587,-0.1551995526958665,0.1551995526958665,113.40096132510523,6.90471393910097,0.03154294199142964,0.9959312201512271,True,0.0,0.0,
117,D,rejected,,,,,,,,,,,,,,,,,
118,E,rejected,,,,,,,,,,,,,,,,,
119,B,rejected,,,,,,,,,,,,,,,,,negative_v0
121,A,accepted,direct,18.0,18.0,-0.07417498237846182,28.006397333564397,6061.169456587253,28.006397333564397,-0.14834996475692364,0.14834996475692364,188.78600597886094,8.704777403817573,0.04369227095770467,0.9967699878855294,True,0.0,0.0,
122,D,rejected,,,,,,,,,,,,,,,,,
123,D,rejected,,,,,,,,,,,,,,,,,
124,C,rejected,,,,,,,,,,,,,,,,,
125,A,accepted,direct,9.0,9.0,-0.11120943226501125,22.613326469553403,5699.375296459758,22.613326469553403,-0.2224188645300225,0.2224188645300225,101.67000230549696,6.848923773606983,0.019719410038257983,0.9970100837627782,True,0.0,0.0,
126,D,rejected,,,,,,,,,,,,,,,,,
127,E,rejected,,,,,,,,,,,,,,,,,
129,D,rejected,,,,,,,,,,,,,,,,,
130,D,rejected,,,,,,,,,,,,,,,,,
131,D,rejected,,,,,,,,,,,,,,,,,
132,B,accepted,partial,11.0,11.0,-0.08921588825001467,2.9713281275844747,7491.360077218833,2.9713281275844747,-0.17843177650002934,0.17843177650002934,16.65246059792487,7.516100039502886,0.01701687540678702,0.9997058102000489,True,0.0,0.0,
133,C,rejected,,,,,,,,,,,,,,,,,
134,A,accepted,direct,23.0,23.0,-0.06665505586867268,24.30135166275547,8071.332813045798,24.30135166275547,-0.13331011173734536,0.13331011173734536,182.29188578459284,10.28630242390492,0.08127490180042192,0.9957275109573342,True,0.0,0.0,
135,E,rejected,,,,,,,,,,,,,,,,,
136,D,rejected,,,,,,,,,,,,,,,,,
137,A,accepted,direct,11.0,11.0,-0.07534257512437288,6.230184549401351,6317.140439891361,6.230184549401351,-0.15068515024874576,0.15068515024874576,41.34571017194979,6.445936142240015,0.011555959415216626,0.999651727489419,True,0.0,0.0,
138,A,accepted,direct,9.0,9.0,-0.0676268701074301,0.8491967193761412,6271.5808692351675,0.8491967193761412,-0.1352537402148602,0.1352537402148602,6.278545184977005,6.274246729221936,0.015761865851407205,0.9991445511563222,True,0.0,0.0,
139,D,rejected,,,,,,,,,,,,,,,,,
140,E,rejected,,,,,,,,,,,,,,,,,
141,E,rejected,,,,,,,,,,,,,,,,,
142,D,rejected,,,,,,,,,,,,,,,,,
143,E,rejected,,,,,,,,,,,,,,,,,
144,E,rejected,,,,,,,,,,,,,,,,,
145,C,rejected,,,,,,,,,,,,,,,,,
146,A,accepted,direct,7.0,7.0,-0.08769169905602646,5.00968646545002,6690.83449318567,5.00968646545002,-0.17538339811205292,0.17538339811205292,28.56420002906614,6.762383336326679,0.0035986529961639334,0.9997957791425186,True,0.0,0.0,
147,A,accepted,direct,25.0,25.0,-0.08389244653759527,38.8298178991219,7173.618934116632,38.8298178991219,-0.16778489307519054,0.16778489307519054,231.42618615682426,11.666737266895518,0.0362340783282048,0.9994681481145967,True,0.0,0.0,
148,B,rejected,,,,,,,,,,,,,,,,,positive_acceleration
149,E,rejected,,,,,,,,,,,,,,,,,
150,D,rejected,,,,,,,,,,,,,,,,,
151,C,rejected,,,,,,,,,,,,,,,,,
152,D,rejected,,,,,,,,,,,,,,,,,
153,A,accepted,direct,12.0,12.0,-0.06793651379292111,2.518067149012824,8621.205392649385,2.518067149012824,-0.13587302758584222,0.13587302758584222,18.532501952397823,8.644538434827059,0.04159131161915931,0.9978906653874862,True,0.0,0.0,
154,D,rejected,,,,,,,,,,,,,,,,,
155,C,rejected,,,,,,,,,,,,,,,,,
157,C,rejected,,,,,,,,,,,,,,,,,
